sale_id,date,store_id,product_id,units_sold,sale_price,discount_pct,revenue,profit
1,2022-01-01,3,21,3,3930.16,0,11790.48,3425.88
2,2022-01-01,2,40,1,2736.93,10,2736.93,-1027.2
3,2022-01-01,7,27,3,7097.98,10,21293.94,18252.84
4,2022-01-01,4,29,4,5104.88,0,20419.52,11735.72
5,2022-01-01,14,45,1,3945.26,0,3945.26,315.23
6,2022-01-01,19,12,2,5428.53,5,10857.06,9863.24
7,2022-01-01,11,25,6,4915.56,0,29493.36,17250.0
8,2022-01-01,20,37,4,2303.08,0,9212.32,-2065.32
9,2022-01-01,5,30,8,2502.45,5,20019.6,13660.56
10,2022-01-01,16,26,6,5111.38,0,30668.28,14216.4
11,2022-01-01,5,25,8,4915.56,0,39324.48,23000.0
12,2022-01-02,14,29,1,5104.88,0,5104.88,2933.93
13,2022-01-02,5,5,3,223.53,0,670.59,-4514.01
14,2022-01-02,19,23,3,612.65,0,1837.95,-1343.34
15,2022-01-02,17,32,3,2569.01,10,7707.03,6390.21
16,2022-01-02,10,28,9,1610.45,20,14494.05,-14525.28
17,2022-01-02,2,43,1,1512.7,0,1512.7,8.81
18,2022-01-02,2,50,2,3796.81,15,7593.62,2963.96
19,2022-01-02,4,41,4,1301.86,5,5207.44,-3680.6
20,2022-01-02,5,10,4,3125.12,0,12500.48,-3053.72
21,2022-01-02,13,12,6,4857.1,15,29142.6,26161.14
22,2022-01-02,12,19,1,1799.87,20,1799.87,-812.03
23,2022-01-02,4,9,7,5863.89,0,41047.23,23043.37
24,2022-01-02,11,23,6,551.38,10,3308.28,-3054.3
25,2022-01-03,2,18,7,2262.98,15,15840.86,12053.65
26,2022-01-03,13,5,5,178.82,20,894.1,-7746.9
27,2022-01-03,3,4,5,4387.3,0,21936.5,18860.3
28,2022-01-03,20,45,1,3748.0,5,3748.0,117.97
29,2022-01-03,1,28,6,2013.06,0,12078.36,-7267.86
30,2022-01-03,5,38,5,5686.38,20,28431.9,12768.35
31,2022-01-03,16,36,9,835.51,0,7519.59,-24835.68
32,2022-01-03,4,8,2,5024.06,0,10048.12,7320.64
33,2022-01-03,17,26,3,5111.38,0,15334.14,7108.2
34,2022-01-03,2,9,7,5277.5,10,36942.5,18938.64
35,2022-01-03,1,10,3,3125.12,0,9375.36,-2290.29
36,2022-01-03,1,18,7,2529.21,5,17704.47,13917.26
37,2022-01-03,10,21,6,3144.13,20,18864.78,2135.58
38,2022-01-03,13,19,2,1799.87,20,3599.74,-1624.06
39,2022-01-03,2,4,4,3948.57,10,15794.28,13333.32
40,2022-01-03,15,3,6,4363.57,0,26181.42,11950.62
41,2022-01-03,6,37,3,2303.08,0,6909.24,-1548.99
42,2022-01-03,10,50,5,4020.16,10,20100.8,8526.65
43,2022-01-04,2,17,4,6126.56,5,24506.24,21325.88
44,2022-01-04,16,6,4,1670.85,0,6683.4,-4767.36
45,2022-01-04,18,31,4,2273.82,15,9095.28,5384.28
46,2022-01-04,5,19,3,2137.35,5,6412.05,-1423.65
47,2022-01-04,15,41,3,1370.38,0,4111.14,-2554.89
48,2022-01-04,1,22,3,2653.3,0,7959.9,1647.78
49,2022-01-04,14,8,3,4772.86,5,14318.58,10227.36
50,2022-01-04,3,24,2,5726.94,0,11453.88,10166.96
51,2022-01-04,19,47,3,1918.46,0,5755.38,-325.08
52,2022-01-04,17,15,2,1812.13,5,3624.26,2897.66
53,2022-01-05,13,22,4,2387.97,10,9551.88,1135.72
54,2022-01-05,9,18,4,2662.33,0,10649.32,8485.2
55,2022-01-05,6,37,6,2303.08,0,13818.48,-3097.98
56,2022-01-05,9,6,2,1670.85,0,3341.7,-2383.68
57,2022-01-05,4,3,4,3490.86,20,13963.44,4476.24
58,2022-01-05,19,15,5,1812.13,5,9060.65,7244.15
59,2022-01-05,15,45,4,3945.26,0,15781.04,1260.92
60,2022-01-05,11,1,3,6810.68,5,20432.04,13184.85
61,2022-01-05,10,3,1,4363.57,0,4363.57,1991.77
62,2022-01-05,9,44,2,2533.68,0,5067.36,672.14
63,2022-01-05,12,17,4,5481.66,15,21926.64,18746.28
64,2022-01-05,8,50,3,4466.84,0,13400.52,6456.03
65,2022-01-05,19,22,5,2653.3,0,13266.5,2746.3
66,2022-01-05,6,14,6,6906.29,5,41437.74,35184.48
67,2022-01-06,7,23,5,612.65,0,3063.25,-2238.9
68,2022-01-06,7,6,5,1587.31,5,7936.55,-6376.9
69,2022-01-06,4,27,3,7097.98,10,21293.94,18252.84
70,2022-01-06,13,22,4,2653.3,0,10613.2,2197.04
71,2022-01-06,4,24,6,5440.59,5,32643.54,28782.78
72,2022-01-06,11,36,6,835.51,0,5013.06,-16557.12
73,2022-01-06,8,12,2,5714.24,0,11428.48,10434.66
74,2022-01-06,14,43,7,1437.06,5,10059.42,-467.81
75,2022-01-07,19,41,5,1096.3,20,5481.5,-5628.55
76,2022-01-07,20,40,5,3041.03,0,15205.15,-3615.5
77,2022-01-07,7,25,6,3932.45,20,23594.7,11351.34
78,2022-01-07,11,6,1,1503.76,10,1503.76,-1358.93
79,2022-01-07,8,22,4,2520.64,5,10082.56,1666.4
80,2022-01-07,17,49,3,6371.64,10,19114.92,10096.89
81,2022-01-07,6,45,6,3748.0,5,22488.0,707.82
82,2022-01-07,1,4,4,3948.57,10,15794.28,13333.32
83,2022-01-07,8,23,6,582.02,5,3492.12,-2870.46
84,2022-01-07,16,47,10,1822.54,5,18225.4,-2042.8
85,2022-01-07,19,18,1,2662.33,0,2662.33,2121.3
86,2022-01-07,2,48,5,444.47,0,2222.35,-17670.3
87,2022-01-07,20,3,5,4363.57,0,21817.85,9958.85
88,2022-01-07,17,22,5,2520.64,5,12603.2,2083.0
89,2022-01-07,13,14,5,7269.78,0,36348.9,31137.85
90,2022-01-08,6,23,6,582.02,5,3492.12,-2870.46
91,2022-01-08,6,12,1,5714.24,0,5714.24,5217.33
92,2022-01-08,14,27,6,7886.64,0,47319.84,41237.64
93,2022-01-08,11,2,2,411.57,10,823.14,-1860.46
94,2022-01-08,4,40,8,2888.98,5,23111.84,-7001.2
95,2022-01-08,13,47,2,1822.54,5,3645.08,-408.56
96,2022-01-08,11,43,3,1361.43,10,4084.29,-427.38
97,2022-01-08,19,40,6,2888.98,5,17333.88,-5250.9
98,2022-01-08,17,37,2,1842.46,20,3684.92,-1953.9
99,2022-01-09,13,16,9,5955.69,20,53601.21,24405.3
100,2022-01-09,7,26,3,4855.81,5,14567.43,6341.49
101,2022-01-09,18,14,2,7269.78,0,14539.56,12455.14
102,2022-01-09,3,31,4,2541.33,5,10165.32,6454.32
103,2022-01-09,8,44,1,2280.31,10,2280.31,82.7
104,2022-01-09,13,26,2,4855.81,5,9711.62,4227.66
105,2022-01-09,18,18,7,2662.33,0,18636.31,14849.1
106,2022-01-09,17,32,2,2854.46,0,5708.92,4831.04
107,2022-01-09,12,29,1,4849.64,5,4849.64,2678.69
108,2022-01-09,1,47,2,1822.54,5,3645.08,-408.56
109,2022-01-09,18,30,1,2502.45,5,2502.45,1707.57
110,2022-01-09,4,4,4,4387.3,0,17549.2,15088.24
111,2022-01-09,19,12,12,5428.53,5,65142.36,59179.44
112,2022-01-09,9,45,1,3945.26,0,3945.26,315.23
113,2022-01-09,3,49,8,7079.6,0,56636.8,32588.72
114,2022-01-09,5,50,7,3796.81,15,26577.67,10373.86
115,2022-01-09,10,34,4,6294.32,15,25177.28,11110.4
116,2022-01-09,5,9,4,5863.89,0,23455.56,13167.64
117,2022-01-09,5,48,2,400.02,10,800.04,-7157.02
118,2022-01-10,6,50,6,4466.84,0,26801.04,12912.06
119,2022-01-10,19,24,10,4867.9,15,48679.0,42244.4
120,2022-01-10,14,31,4,2273.82,15,9095.28,5384.28
121,2022-01-10,14,13,1,348.29,0,348.29,-2219.17
122,2022-01-10,10,27,6,7097.98,10,42587.88,36505.68
123,2022-01-10,17,41,6,1370.38,0,8222.28,-5109.78
124,2022-01-10,18,12,2,5142.82,10,10285.64,9291.82
125,2022-01-10,15,50,6,3796.81,15,22780.86,8891.88
126,2022-01-11,11,11,5,4534.09,0,22670.45,7182.4
127,2022-01-11,12,32,3,2283.57,20,6850.71,5533.89
128,2022-01-11,3,28,8,1811.75,10,14494.0,-11300.96
129,2022-01-11,8,49,5,6017.66,15,30088.3,15058.25
130,2022-01-11,12,15,2,1716.76,10,3433.52,2706.92
131,2022-01-11,4,24,5,5154.25,10,25771.25,22553.95
132,2022-01-11,2,9,2,5570.7,5,11141.4,5997.44
133,2022-01-11,6,24,5,4581.55,20,22907.75,19690.45
134,2022-01-11,15,32,7,2711.74,5,18982.18,15909.6
135,2022-01-11,9,16,5,7072.38,5,35361.9,19141.95
136,2022-01-12,14,13,2,330.88,5,661.76,-4473.16
137,2022-01-12,9,50,4,3796.81,15,15187.24,5927.92
138,2022-01-12,16,6,8,1503.76,10,12030.08,-10871.44
139,2022-01-12,14,4,3,4387.3,0,13161.9,11316.18
140,2022-01-12,19,11,6,4080.68,10,24484.08,5898.42
141,2022-01-12,15,44,6,2280.31,10,13681.86,496.2
142,2022-01-12,18,33,7,6382.01,5,44674.07,25618.53
143,2022-01-12,4,49,2,7079.6,0,14159.2,8147.18
144,2022-01-13,8,15,5,1716.76,10,8583.8,6767.3
145,2022-01-13,14,21,4,3930.16,0,15720.64,4567.84
146,2022-01-13,7,2,4,434.44,5,1737.76,-3629.44
147,2022-01-13,3,25,3,4915.56,0,14746.68,8625.0
148,2022-01-13,12,37,1,2187.93,5,2187.93,-631.48
149,2022-01-13,10,36,3,835.51,0,2506.53,-8278.56
150,2022-01-13,20,29,5,5104.88,0,25524.4,14669.65
151,2022-01-13,17,28,2,1912.41,5,3824.82,-2623.92
152,2022-01-13,9,44,4,2026.94,20,8107.76,-682.68
153,2022-01-14,5,20,2,6899.77,0,13799.54,13624.76
154,2022-01-14,11,33,2,5374.33,20,10748.66,5304.22
155,2022-01-14,13,34,5,7034.83,5,35174.15,17590.55
156,2022-01-14,6,16,4,7444.61,0,29778.44,16802.48
157,2022-01-14,8,5,5,223.53,0,1117.65,-7523.35
158,2022-01-14,14,47,1,1534.77,20,1534.77,-492.05
159,2022-01-14,18,4,5,3948.57,10,19742.85,16666.65
160,2022-01-14,2,6,5,1670.85,0,8354.25,-5959.2
161,2022-01-14,15,38,7,6752.58,5,47268.06,25339.09
162,2022-01-14,17,1,4,7169.14,0,28676.56,19013.64
163,2022-01-14,14,35,1,7073.22,10,7073.22,4977.67
164,2022-01-14,12,14,6,7269.78,0,43618.68,37365.42
165,2022-01-15,12,34,4,6664.57,10,26658.28,12591.4
166,2022-01-15,16,43,1,1512.7,0,1512.7,8.81
167,2022-01-15,13,47,3,1918.46,0,5755.38,-325.08
168,2022-01-15,15,22,3,2387.97,10,7163.91,851.79
169,2022-01-15,11,28,6,2013.06,0,12078.36,-7267.86
170,2022-01-15,10,7,4,650.7,5,2602.8,-3286.6
171,2022-01-15,15,36,3,793.73,5,2381.19,-8403.9
172,2022-01-15,10,13,6,330.88,5,1985.28,-13419.48
173,2022-01-15,19,8,7,4270.45,15,29893.15,20346.97
174,2022-01-15,12,36,2,835.51,0,1671.02,-5519.04
175,2022-01-15,7,34,3,7405.08,0,22215.24,11665.08
176,2022-01-15,3,32,3,2854.46,0,8563.38,7246.56
177,2022-01-16,14,21,4,3930.16,0,15720.64,4567.84
178,2022-01-16,1,19,7,2137.35,5,14961.45,-3321.85
179,2022-01-16,5,6,2,1670.85,0,3341.7,-2383.68
180,2022-01-16,6,44,6,2533.68,0,15202.08,2016.42
181,2022-01-16,4,2,6,434.44,5,2606.64,-5444.16
182,2022-01-16,16,5,3,223.53,0,670.59,-4514.01
183,2022-01-16,5,12,6,5714.24,0,34285.44,31303.98
184,2022-01-16,1,20,6,6209.79,10,37258.74,36734.4
185,2022-01-16,18,16,2,7444.61,0,14889.22,8401.24
186,2022-01-16,20,45,3,3945.26,0,11835.78,945.69
187,2022-01-16,17,23,7,582.02,5,4074.14,-3348.87
188,2022-01-16,14,42,6,1871.73,0,11230.38,-5965.56
189,2022-01-16,3,9,1,5863.89,0,5863.89,3291.91
190,2022-01-16,14,18,8,2262.98,15,18103.84,13775.6
191,2022-01-17,13,3,5,4363.57,0,21817.85,9958.85
192,2022-01-17,11,12,5,5142.82,10,25714.1,23229.55
193,2022-01-17,10,2,2,411.57,10,823.14,-1860.46
194,2022-01-17,9,25,2,4424.0,10,8848.0,4766.88
195,2022-01-17,19,23,2,612.65,0,1225.3,-895.56
196,2022-01-17,20,7,4,616.46,10,2465.84,-3423.56
197,2022-01-17,3,29,3,4339.15,15,13017.45,6504.6
198,2022-01-17,2,7,3,547.96,20,1643.88,-2773.17
199,2022-01-17,18,27,5,7886.64,0,39433.2,34364.7
200,2022-01-17,4,45,6,3353.47,15,20120.82,-1659.36
201,2022-01-17,10,34,4,7034.83,5,28139.32,14072.44
202,2022-01-18,18,41,4,1370.38,0,5481.52,-3406.52
203,2022-01-18,19,40,6,2888.98,5,17333.88,-5250.9
204,2022-01-18,11,5,3,223.53,0,670.59,-4514.01
205,2022-01-18,5,1,1,7169.14,0,7169.14,4753.41
206,2022-01-18,11,20,5,6899.77,0,34498.85,34061.9
207,2022-01-18,16,5,3,223.53,0,670.59,-4514.01
208,2022-01-18,4,28,5,2013.06,0,10065.3,-6056.55
209,2022-01-18,8,14,4,7269.78,0,29079.12,24910.28
210,2022-01-19,9,13,5,278.63,20,1393.15,-11444.15
211,2022-01-19,20,25,3,4915.56,0,14746.68,8625.0
212,2022-01-19,7,21,2,3144.13,20,6288.26,711.86
213,2022-01-19,12,49,5,6725.62,5,33628.1,18598.05
214,2022-01-19,15,32,4,2854.46,0,11417.84,9662.08
215,2022-01-19,1,27,4,7097.98,10,28391.92,24337.12
216,2022-01-19,16,3,6,4145.39,5,24872.34,10641.54
217,2022-01-19,10,8,3,4772.86,5,14318.58,10227.36
218,2022-01-19,13,34,4,7405.08,0,29620.32,15553.44
219,2022-01-20,12,36,1,751.96,10,751.96,-2843.07
220,2022-01-20,20,17,1,5804.11,10,5804.11,5009.02
221,2022-01-20,10,11,5,4080.68,10,20403.4,4915.35
222,2022-01-20,10,24,3,5726.94,0,17180.82,15250.44
223,2022-01-20,7,38,2,6752.58,5,13505.16,7239.74
224,2022-01-20,2,4,3,3948.57,10,11845.71,9999.99
225,2022-01-20,13,30,4,2634.16,0,10536.64,7357.12
226,2022-01-20,1,12,5,5714.24,0,28571.2,26086.65
227,2022-01-20,13,18,3,2396.1,10,7188.3,5565.21
228,2022-01-20,11,33,4,5710.22,15,22840.88,11952.0
229,2022-01-20,17,39,4,7491.52,0,29966.08,17349.12
230,2022-01-20,19,30,5,2502.45,5,12512.25,8537.85
231,2022-01-20,7,5,5,223.53,0,1117.65,-7523.35
232,2022-01-20,20,39,5,7491.52,0,37457.6,21686.4
233,2022-01-20,10,24,1,5726.94,0,5726.94,5083.48
234,2022-01-20,14,30,1,2634.16,0,2634.16,1839.28
235,2022-01-21,11,10,4,2968.86,5,11875.44,-3678.76
236,2022-01-21,11,20,5,6899.77,0,34498.85,34061.9
237,2022-01-21,18,20,5,6554.78,5,32773.9,32336.95
238,2022-01-21,18,5,6,223.53,0,1341.18,-9028.02
239,2022-01-21,2,4,3,3509.84,20,10529.52,8683.8
240,2022-01-21,1,28,4,1912.41,5,7649.64,-5247.84
241,2022-01-21,12,10,5,2812.61,10,14063.05,-5379.7
242,2022-01-21,20,24,5,5726.94,0,28634.7,25417.4
243,2022-01-21,9,26,6,5111.38,0,30668.28,14216.4
244,2022-01-21,8,40,3,2888.98,5,8666.94,-2625.45
245,2022-01-21,19,44,4,2533.68,0,10134.72,1344.28
246,2022-01-21,9,5,5,201.18,10,1005.9,-7635.1
247,2022-01-21,13,47,5,1726.61,10,8633.05,-1501.05
248,2022-01-21,16,3,4,4363.57,0,17454.28,7967.08
249,2022-01-21,1,43,5,1512.7,0,7563.5,44.05
250,2022-01-22,4,21,7,3930.16,0,27511.12,7993.72
251,2022-01-22,6,25,6,3932.45,20,23594.7,11351.34
252,2022-01-22,1,19,9,2249.84,0,20248.56,-3258.54
253,2022-01-22,17,21,6,3733.65,5,22401.9,5672.7
254,2022-01-22,2,5,3,201.18,10,603.54,-4581.06
255,2022-01-22,6,2,1,411.57,10,411.57,-930.23
256,2022-01-22,15,9,3,5863.89,0,17591.67,9875.73
257,2022-01-22,4,38,3,6397.18,10,19191.54,9793.41
258,2022-01-22,19,12,2,4857.1,15,9714.2,8720.38
259,2022-01-22,2,33,1,6717.91,0,6717.91,3995.69
260,2022-01-22,8,46,6,3867.29,5,23203.74,9205.74
261,2022-01-22,14,24,2,5154.25,10,10308.5,9021.58
262,2022-01-22,9,3,2,3490.86,20,6981.72,2238.12
263,2022-01-22,1,19,4,2249.84,0,8999.36,-1448.24
264,2022-01-23,9,25,2,4424.0,10,8848.0,4766.88
265,2022-01-23,16,4,3,4387.3,0,13161.9,11316.18
266,2022-01-23,16,29,6,4594.39,10,27566.34,14540.64
267,2022-01-23,2,20,4,5864.8,15,23459.2,23109.64
268,2022-01-23,12,24,2,5726.94,0,11453.88,10166.96
269,2022-01-23,4,46,9,3867.29,5,34805.61,13808.61
270,2022-01-23,18,22,7,2520.64,5,17644.48,2916.2
271,2022-01-23,13,17,3,6126.56,5,18379.68,15994.41
272,2022-01-23,8,49,7,7079.6,0,49557.2,28515.13
273,2022-01-23,9,43,4,1512.7,0,6050.8,35.24
274,2022-01-23,14,9,7,5277.5,10,36942.5,18938.64
275,2022-01-23,13,19,6,2024.86,10,12149.16,-3522.24
276,2022-01-23,15,12,7,5142.82,10,35999.74,32521.37
277,2022-01-23,1,23,2,551.38,10,1102.76,-1018.1
278,2022-01-23,19,36,3,835.51,0,2506.53,-8278.56
279,2022-01-24,7,39,6,7491.52,0,44949.12,26023.68
280,2022-01-24,13,28,8,1912.41,5,15299.28,-10495.68
281,2022-01-24,6,15,1,1812.13,5,1812.13,1448.83
282,2022-01-24,6,28,3,1912.41,5,5737.23,-3935.88
283,2022-01-24,4,30,8,2370.74,10,18965.92,12606.88
284,2022-01-24,15,33,4,6046.12,10,24184.48,13295.6
285,2022-01-24,11,20,3,6899.77,0,20699.31,20437.14
286,2022-01-24,17,49,5,7079.6,0,35398.0,20367.95
287,2022-01-24,14,45,4,3945.26,0,15781.04,1260.92
288,2022-01-24,15,43,2,1361.43,10,2722.86,-284.92
289,2022-01-24,6,30,3,2502.45,5,7507.35,5122.71
290,2022-01-24,16,4,4,4387.3,0,17549.2,15088.24
291,2022-01-24,10,22,5,2520.64,5,12603.2,2083.0
292,2022-01-24,12,34,2,7405.08,0,14810.16,7776.72
293,2022-01-24,15,21,4,3733.65,5,14934.6,3781.8
294,2022-01-24,5,34,7,7405.08,0,51835.56,27218.52
295,2022-01-25,5,37,7,2072.77,10,14509.39,-5226.48
296,2022-01-25,19,17,2,5159.21,20,10318.42,8728.24
297,2022-01-25,4,19,3,2249.84,0,6749.52,-1086.18
298,2022-01-25,19,38,7,6752.58,5,47268.06,25339.09
299,2022-01-25,17,47,4,1630.69,15,6522.76,-1584.52
300,2022-01-25,16,17,5,5804.11,10,29020.55,25045.1
301,2022-01-25,2,50,5,4466.84,0,22334.2,10760.05
302,2022-01-25,8,41,3,1096.3,20,3288.9,-3377.13
303,2022-01-26,4,49,1,7079.6,0,7079.6,4073.59
304,2022-01-26,9,25,2,3932.45,20,7864.9,3783.78
305,2022-01-26,6,1,4,6810.68,5,27242.72,17579.8
306,2022-01-26,6,11,4,3627.27,20,14509.08,2118.64
